price,district,underground,street,house_number,floor,floors_count,total_meters,rooms_count,residential_complex,url
13700000.0,,Ольховая, 3-я Нововатутинская,2,2,16,58.5,2,"Новые Ватутинки, мкр. Центральный",https://www.cian.ru/sale/flat/317201870/
37540165.0,Алексеевский,Улица Сергея Эйзенштейна,,,4,17,83.33,3,Мира ЖК,https://www.cian.ru/sale/flat/309402481/
166440614.0,Мещанский,Трубная,Рождественский бульвар,10/7С1,2,4,140.0,3,,https://www.cian.ru/sale/flat/317410369/
65000000.0,Пресненский,Баррикадная,Малая Никитская ,16/5,2,9,76.0,3,,https://www.cian.ru/sale/flat/316721155/
22081320.0,Сокольники,Сокольники, Гастелло,,2,24,49.8,2,STONE Sokolniki,https://www.cian.ru/sale/flat/305914265/
18200000.0,Филевский парк,Фили,Береговой проезд,3,9,29,35.0,1,Береговой,https://www.cian.ru/sale/flat/317614658/
30000000.0,Басманный,Китай-город,переулок Девяткин,4,5,5,45.5,2,,https://www.cian.ru/sale/flat/316797751/
17904913.0,Обручевский,Воронцовская, Архитектора Власова,,15,34,29.7,1,Ever,https://www.cian.ru/sale/flat/301261837/
166440614.0,Мещанский,Трубная,Рождественский бульвар,10/7С1,2,4,140.0,3,,https://www.cian.ru/sale/flat/298534721/
11700000.0,Солнцево,Говорово, 50 лет Октября,5,6,9,58.0,3,,https://www.cian.ru/sale/flat/316419923/
,Гагаринский,Ленинский проспект,Ленинский проспект,38Ак1,4,17,110.1,2,Lunar,https://www.cian.ru/sale/flat/305627335/
27672624.0,Даниловский,Тульская,Автозаводская ,26/1,6,20,68.45,2,FORST,https://www.cian.ru/sale/flat/317427378/
12600000.0,Бибирево,Бибирево, Корнейчука,56,15,16,52.1,2,,https://www.cian.ru/sale/flat/317724071/
36850000.0,Филевский парк,Фили,Береговой проезд,1Б,25,28,89.4,3,мой адрес На Береговом,https://www.cian.ru/sale/flat/317636203/
49990000.0,Хорошево-Мневники,Серебряный Бор,проспект Маршала Жукова,78,18,48,124.0,3,Континенталь,https://www.cian.ru/sale/flat/311352185/
,Даниловский,Павелецкая,Дербеневская ,1С5,4,11,55.8,1,"Клубный дом ""OPUS""",https://www.cian.ru/sale/flat/315816606/
279000000.0,Хамовники,Киевская,Саввинская набережная,13,4,9,186.0,3,SAVVIN RIVER RESIDENCE,https://www.cian.ru/sale/flat/316007862/
19150000.0,Головинский,Водный стадион,Кронштадтский бульвар,6к1,26,26,42.0,2,Водный,https://www.cian.ru/sale/flat/310554199/
166440614.0,Мещанский,Трубная,Рождественский бульвар,10/7С1,2,4,140.0,3,,https://www.cian.ru/sale/flat/315557962/
11200000.0,Измайлово,Измайловская,Измайловский проезд,6К2,4,5,43.1,2,,https://www.cian.ru/sale/flat/316621046/
150117385.0,Дорогомилово,Москва-Сити,,,11,18,115.6,3,Бадаевский ЖК,https://www.cian.ru/sale/flat/313575286/
93000000.0,Арбат,Смоленская,Новинский бульвар,11,2,5,110.0,3,,https://www.cian.ru/sale/flat/297904821/
28990000.0,Бирюлево Восточное,Царицыно,6-я Радиальная ,3к10,9,11,95.0,3,Царицыно,https://www.cian.ru/sale/flat/317761606/
,Алексеевский,Улица Сергея Эйзенштейна,,,4,24,54.32,2,Мира ЖК,https://www.cian.ru/sale/flat/309402329/
73500000.0,Тверской,Тверская,Тверская ,15,7,9,80.1,3,,https://www.cian.ru/sale/flat/317621454/
17500000.0,Чертаново Центральное,Южная,Кировоградская ,16К1,6,12,45.0,2,,https://www.cian.ru/sale/flat/315571125/
100068960.0,Раменки,Мичуринский проспект, Сергея Бондарчука,2,9,14,127.9,3,Река,https://www.cian.ru/sale/flat/310846335/
89000000.0,Мещанский,Сухаревская,проспект Мира,5к1,3,5,118.8,3,,https://www.cian.ru/sale/flat/307277796/
159900000.0,Хамовники,Кропоткинская,Гагаринский переулок,23С1,2,5,99.2,3,,https://www.cian.ru/sale/flat/317569505/
68243688.0,Дорогомилово,Москва-Сити,,,12,18,53.4,1,Бадаевский ЖК,https://www.cian.ru/sale/flat/313949705/
90400000.0,Арбат,Смоленская,Трубниковский переулок,26С1,6,7,90.4,3,,https://www.cian.ru/sale/flat/317620470/
23271600.0,Покровское-Стрешнево,Спартак,,,2,13,41.0,1,Клубный Город на Реке Примавера ЖК,https://www.cian.ru/sale/flat/309288316/
630000000.0,Пресненский,Пушкинская,Малая Бронная ,15,2,7,137.1,2,Малая Бронная 15,https://www.cian.ru/sale/flat/313946912/
29000000.0,Пресненский,Москва-Сити,Шмитовский проезд,15/5,5,5,85.0,3,,https://www.cian.ru/sale/flat/317644660/
195850000.0,Арбат,Арбатская,Крестовоздвиженский переулок,4,3,7,78.34,1,LUCE,https://www.cian.ru/sale/flat/308088559/
60900000.0,Хорошевский,Хорошёвская,Хорошевское шоссе,25Ак3,2,21,62.0,3,Династия,https://www.cian.ru/sale/flat/317757131/
280000000.0,Хамовники,Спортивная, Усачева,11Б,11,13,149.2,3,Садовые кварталы,https://www.cian.ru/sale/flat/315973059/
,Раменки,Мичуринский проспект,м. Мичуринский проспект,,39,50,102.1,3,Событие,https://www.cian.ru/sale/flat/317431792/
67900000.0,Хорошевский,Аэропорт,Ленинградский проспект,37/6,33,41,72.8,2,Прайм Парк,https://www.cian.ru/sale/flat/316634002/
16950000.0,,Рассказовка, Никитина,11к9,5,25,59.3,2,Город-парк Первый Московский,https://www.cian.ru/sale/flat/317616898/
34987912.0,Марьина роща,Марьина Роща,,,5,49,79.14,3,Тэйт ЖК,https://www.cian.ru/sale/flat/296640175/
349000000.0,Хамовники,Спортивная, Усачева,13,4,11,116.0,3,Садовые кварталы,https://www.cian.ru/sale/flat/317509570/
130000000.0,Пресненский,Тверская,Малая Бронная ,21/13С2,5,6,96.0,3,,https://www.cian.ru/sale/flat/317756122/
26734225.0,Марьина роща,Марьина Роща,,,3,49,61.31,2,Тэйт ЖК,https://www.cian.ru/sale/flat/296640089/
68500000.0,Хорошевский,ЦСКА,Ленинградский проспект,37/4,24,36,71.8,2,Прайм Парк,https://www.cian.ru/sale/flat/317596818/
32700000.0,Таганский,Чкаловская,Верхняя Сыромятническая ,2,11,13,50.0,2,,https://www.cian.ru/sale/flat/317323132/
35500000.0,Хорошевский,Аэропорт,Ленинградский проспект,37/5,6,41,40.1,1,Прайм Парк,https://www.cian.ru/sale/flat/313640113/
30000000.0,Хорошевский,Беговая,Хорошевское шоссе,12к1,9,38,66.1,3,Дом на Беговой,https://www.cian.ru/sale/flat/307962802/
630000000.0,Пресненский,Пушкинская,Малая Бронная ,15Б,2,7,137.1,3,Малая Бронная 15,https://www.cian.ru/sale/flat/311248696/
29900000.0,Тропарево-Никулино,Юго-Западная, 26 Бакинских Комиссаров,8к6,14,16,63.0,2,,https://www.cian.ru/sale/flat/315687905/
95207000.0,Гагаринский,Ленинский проспект,Ленинский проспект,38Ак1,8,17,142.1,3,Lunar,https://www.cian.ru/sale/flat/305627366/
219500000.0,Пресненский,Арбатская,Хлыновский тупик,4,3,7,115.4,3,,https://www.cian.ru/sale/flat/316892773/
21000000.0,Преображенское,Преображенская площадь,Просторная ,6,5,9,57.2,2,,https://www.cian.ru/sale/flat/317247120/
,Алексеевский,Улица Сергея Эйзенштейна,,,7,24,35.76,1,Мира ЖК,https://www.cian.ru/sale/flat/309402352/
96500000.0,Стильная кв-ра в Пресненском е3-комн. квартира,,8/14 этаж,,8,14,125.2,3,,https://www.cian.ru/sale/flat/305002437/
15000000.0,Ховрино,Грачёвская,Флотская ,13К3,9,17,47.3,2,,https://www.cian.ru/sale/flat/317779859/
14094000.0,Даниловский,Павелецкая,2-й Павелецкий проезд,7С7,2,21,30.0,1,PAVE,https://www.cian.ru/sale/flat/317213289/
84000000.0,Элегантная кв-ра в е Пресни2-комн. квартира,,96 м²,,5,18,96.0,2,,https://www.cian.ru/sale/flat/315756080/
15700000.0,Можайский,Рабочий посёлок,Витебская ,5,11,17,57.4,2,,https://www.cian.ru/sale/flat/317079893/
138370000.0,Пресненский,Белорусская,,,2,14,96.2,3,Тишинский Бульвар ЖК,https://www.cian.ru/sale/flat/316363057/
227647000.0,Хамовники,Спортивная, Усачева,15,14,15,133.91,3,Садовые кварталы,https://www.cian.ru/sale/flat/309118638/
19900000.0,Орехово-Борисово Северное,Домодедовская,Борисовский проезд,1К2,2,22,73.4,3,,https://www.cian.ru/sale/flat/316986280/
32908000.0,Хорошево-Мневники,Карамышевская, Генерала Глаголева,,14,28,76.0,3,CRYSTAL Трилогия,https://www.cian.ru/sale/flat/315687039/
229900000.0,Хамовники,Фрунзенская,Погодинская ,2,5,13,107.0,2,Жизнь на Плющихе,https://www.cian.ru/sale/flat/313296107/
14990000.0,,Филатов Луг, Малое Понизовье,10,4,11,41.7,1,Саларьево парк,https://www.cian.ru/sale/flat/317750779/
,Соколиная гора,Соколиная гора,,,2,25,62.2,2,Семеновский Парк 2 ЖК,https://www.cian.ru/sale/flat/313034914/
